Unnamed: 0,Unnamed: 1,DATA,DATA.1
Hour,Date/hour start,Solar electricity generation (kWh),Electricity usage (kWh)
17,1579194000000,0.009000000000000001,5.229
18,1579197600000,0.003,12.6786
19,1579201200000,0.012,3.003
20,1579204800000,0.003,2.7786
21,1579208400000,0.003,1.488
22,1579212000000,0,1.7730000000000001
23,1579215600000,0,1.1978802
0,1579219200000,0,0.5899409999999999
1,1579222800000,0,0.1539846
2,1579226400000,0,0.5519448
3,1579230000000,0,0.20700000000000002
4,1579233600000,0,0.28500000000000003
5,1579237200000,0.006,0.309
6,1579240800000,0.009000000000000001,0.5640000000000001
7,1579244400000,0.006,0.579
8,1579248000000,0.006,7.485
9,1579251600000,0.561,7.08
10,1579255200000,1.6139999999999999,0.327
11,1579258800000,3.702,0.171
12,1579262400000,5.076,0.084
13,1579266000000,4.554,0.378
14,1579269600000,1.02,0.432
15,1579273200000,0.549,0.41100000000000003
16,1579276800000,0.15,1.017
17,1579280400000,0.021,1.065
18,1579284000000,0.012,8.9826
19,1579287600000,0.009000000000000001,3.3198
20,1579291200000,0.012,15.5166
21,1579294800000,0.006,2.436
22,1579298400000,0.006,1.116
23,1579302000000,0,0.9419057999999999
0,1579305600000,0,0.8879112
1,1579309200000,0,0.4719528
2,1579312800000,0,0.359964
3,1579316400000,0,0.504
4,1579320000000,0,0.28500000000000003
5,1579323600000,0.009000000000000001,0.309
6,1579327200000,0,0.306
7,1579330800000,0.006,0.591
8,1579334400000,0.009000000000000001,9.492
9,1579338000000,0.657,0.867
10,1579341600000,1.4100000000000001,8.772
11,1579345200000,1.635,5.394
12,1579348800000,5.526,0.66
13,1579352400000,3.849,4.356
14,1579356000000,0.402,0.324
15,1579359600000,0.402,0.537
16,1579363200000,0.069,0.603
17,1579366800000,0.003,8.766
18,1579370400000,0.009000000000000001,1.6104
19,1579374000000,0.021,3.597
20,1579377600000,0.021,2.1582
21,1579381200000,0,0.849
22,1579384800000,0.012,1.698
23,1579388400000,0,1.2735
0,1579392000000,0,0.7159284
1,1579395600000,0,0.2739726
2,1579399200000,0,0.11598839999999999
3,1579402800000,0,0.186
4,1579406400000,0,0.363
5,1579410000000,0.012,0.63
6,1579413600000,0.015,7.533
7,1579417200000,0.21,2.394
8,1579420800000,0.8220000000000001,2.613
9,1579424400000,2.073,0.852
10,1579428000000,4.947,0.435
11,1579431600000,5.232,1.6560000000000001
12,1579435200000,4.419,2.058
13,1579438800000,0.381,0.645
14,1579442400000,0.264,0.639
15,1579446000000,0.039,0.624
16,1579449600000,0.015,0.537
17,1579453200000,0.012,1.236
18,1579456800000,0,2.904
19,1579460400000,0.009000000000000001,2.706
20,1579464000000,0.006,3.201
21,1579467600000,0.009000000000000001,1.347
22,1579471200000,0.012,1.581
23,1579474800000,0,0.7619237999999999
0,1579478400000,0,0.3739626
1,1579482000000,0,0.2919708
2,1579485600000,0,0.1439856
3,1579489200000,0,0.219
4,1579492800000,0,0.22
5,1579496400000,0,0.216
6,1579500000000,0.003,0.213
7,1579503600000,0,2.316
8,1579507200000,0.222,0.855
9,1579510800000,0.34800000000000003,1.875
10,1579514400000,0.894,0.294
11,1579518000000,0.555,0.531
12,1579521600000,0.27,9.15
13,1579525200000,0.252,2.676
14,1579528800000,0.276,1.062
15,1579532400000,0.036000000000000004,0.291
16,1579536000000,0.003,1.08
17,1579539600000,0.009000000000000001,1.362
18,1579543200000,0.015,23.9118
19,1579546800000,0.003,3.201
20,1579550400000,0.006,2.8182
21,1579554000000,0.021,1.197
22,1579557600000,0.009000000000000001,1.518
23,1579561200000,0,1.0718928
0,1579564800000,0,0.14798519999999998
1,1579568400000,0,0.1539846
2,1579572000000,0,0.14998499999999998
3,1579575600000,0,0.47700000000000004
4,1579579200000,0,0.47400000000000003
5,1579582800000,0.003,0.327
6,1579586400000,0.015,0.357
7,1579590000000,0.015,0.5700000000000001
8,1579593600000,0.36,0.306
9,1579597200000,0.8190000000000001,1.722
10,1579600800000,0.45,4.14
11,1579604400000,0.372,31.494
12,1579608000000,0.28200000000000003,7.245
13,1579611600000,0.303,1.476
14,1579615200000,0.138,1.155
15,1579618800000,0.024,0.726
16,1579622400000,0.015,0.792
17,1579626000000,0.006,2.1
18,1579629600000,0,2.607
19,1579633200000,0.006,21.912
20,1579636800000,0.009000000000000001,3.1482
21,1579640400000,0,1.587
22,1579644000000,0,2.091
23,1579647600000,0,0.7639235999999999
0,1579651200000,0,0.29997
1,1579654800000,0,0.46195379999999997
2,1579658400000,0,0.21797819999999998
3,1579662000000,0,0.309
4,1579665600000,0,0.324
5,1579669200000,0.018000000000000002,0.597
6,1579672800000,0.006,1.392
7,1579676400000,0.006,1.086
8,1579680000000,0.528,0.672
9,1579683600000,0.927,0.5760000000000001
10,1579687200000,4.875,25.206
11,1579690800000,4.998,0.888
12,1579694400000,4.242,0.834
13,1579698000000,2.1390000000000002,2.163
14,1579701600000,0.465,0.504
15,1579705200000,0.015,0.612
16,1579708800000,0.006,0.426
17,1579712400000,0.009000000000000001,5.688
18,1579716000000,0.009000000000000001,2.2968
19,1579719600000,0.006,2.7654
20,1579723200000,0.003,2.7720000000000002
21,1579726800000,0.015,1.569
22,1579730400000,0,1.392
23,1579734000000,0,0.9399059999999999
0,1579737600000,0,0.32396759999999997
1,1579741200000,0,0.309969
2,1579744800000,0,0.1359864
3,1579748400000,0,0.195
4,1579752000000,0,0.486
5,1579755600000,0.024,0.24
6,1579759200000,0,1.242
7,1579762800000,0.009000000000000001,9.825
8,1579766400000,0.426,5.646
9,1579770000000,0.588,24.885
10,1579773600000,0.66,0.591
11,1579777200000,0.618,1.7309999999999999
12,1579780800000,0.42,0.888
13,1579784400000,0.531,0.87
14,1579788000000,0.41400000000000003,0.63
